player_id,player,team,conference,season,draft_year,draft_overall,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4426388,Jameson Williams,Ohio State,Big Ten,2020,2022,12,Wide Receiver,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,9.0,2.0,154.0,17.1,,,,,
4426403,Nick Cross,Maryland,Big Ten,2019,2022,96,Safety,5.0,0.0,0.0,30.0,0.0,1.0,45.0,,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426403,Nick Cross,Maryland,Big Ten,2020,2022,96,Safety,3.0,1.0,1.0,14.0,0.0,1.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426403,Nick Cross,Maryland,Big Ten,2021,2022,96,Safety,5.0,0.0,3.0,44.0,0.0,3.5,66.0,,,,18.3,3.0,0.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426405,Trent McDuffie,Washington,Pac-12,2019,2022,21,Cornerback,2.0,0.0,0.0,37.0,0.0,0.0,45.0,0.0,0.0,2.0,29.0,1.0,0.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426405,Trent McDuffie,Washington,Pac-12,2020,2022,21,Cornerback,0.0,0.0,0.0,9.0,0.0,1.5,14.0,,,,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,18.7,45.0,3.0,0.0,56.0,,,,,,,,,,,,,,,,
4426405,Trent McDuffie,Washington,Pac-12,2021,2022,21,Cornerback,6.0,0.0,1.0,25.0,0.0,4.0,35.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,6.0,0.0,18.0,,,,,,,,,,,,,,,,
4426407,Trey Palmer,LSU,SEC,2019,2023,191,Wide Receiver,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,11.0,11.0,1.0,0.0,11.0,,,,,,,,,,,,,,,21.7,54.0,3.0,1.0,65.0,,,,,,,6.0,1.0,0.0,6.0,6.0,,,,,
4426407,Trey Palmer,LSU,SEC,2020,2023,191,Wide Receiver,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,36.5,93.0,6.0,1.0,219.0,,,,,,,,,,,,,,,4.0,10.0,2.0,0.0,8.0,,,,,,,24.0,10.0,0.0,108.0,10.8,,,,,
4426407,Trey Palmer,LSU,SEC,2021,2023,191,Wide Receiver,,,,,,,,1.0,0.0,0.0,,,,,20.3,28.0,7.0,0.0,142.0,,,,,,,,,,,,,,,6.5,24.0,18.0,0.0,117.0,,,,,,,61.0,30.0,3.0,344.0,11.5,2.0,3.0,0.0,0.0,0.0
4426407,Trey Palmer,Nebraska,Big Ten,2022,2023,191,Wide Receiver,0.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,,,,,22.5,25.0,2.0,0.0,45.0,,,,,,,,,,,,,,,9.0,22.0,4.0,0.0,36.0,,,,,,,87.0,71.0,9.0,1043.0,14.7,5.0,60.0,0.0,75.0,15.0
4426412,Zach Harrison,Ohio State,Big Ten,2019,2023,75,Defensive End,0.0,1.0,3.5,14.0,0.0,5.5,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426412,Zach Harrison,Ohio State,Big Ten,2020,2023,75,Defensive End,2.0,0.0,2.0,6.0,0.0,4.5,14.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426412,Zach Harrison,Ohio State,Big Ten,2021,2023,75,Defensive End,4.0,2.0,3.0,22.0,0.0,8.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426412,Zach Harrison,Ohio State,Big Ten,2022,2023,75,Defensive End,4.0,6.0,3.5,18.0,0.0,7.0,31.0,,,,2.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426422,Daxton Hill,Michigan,Big Ten,2019,2022,31,Safety,3.0,0.0,0.0,25.0,0.0,3.0,36.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,1.0,0.0,25.0,25.0,,,,,
4426422,Daxton Hill,Michigan,Big Ten,2020,2022,31,Safety,4.0,0.0,0.0,24.0,0.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426422,Daxton Hill,Michigan,Big Ten,2021,2022,31,Safety,8.0,4.0,0.5,42.0,0.0,4.5,69.0,0.0,0.0,1.0,1.5,2.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426434,Derek Stingley Jr.,LSU,SEC,2019,2022,3,Cornerback,14.0,0.0,0.0,29.0,0.0,0.0,35.0,1.0,1.0,1.0,2.8,6.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,9.1,32.0,18.0,0.0,164.0,,,,,,,,,,,,,,,,
4426434,Derek Stingley Jr.,LSU,SEC,2020,2022,3,Cornerback,5.0,0.0,0.0,19.0,0.0,2.5,27.0,1.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,16.2,48.0,6.0,0.0,97.0,,,,,,,,,,,,,,,,
4426434,Derek Stingley Jr.,LSU,SEC,2021,2022,3,Cornerback,0.0,0.0,0.0,6.0,0.0,3.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426435,Jaden Davis,Miami,ACC,2023,2024,226,Cornerback,4.0,1.0,1.0,29.0,0.0,3.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
